id,Formule,BG,IM,CA,a,b,c,alpha,beta,gamma,contains_rare_earth,is_element,num_of_elements
mp-239,BaS3,1.3912999999999998,False,62546.51885040232,6.9519550500000005,6.9519550500000005,4.21601149,90.0,90.0,90.0,False,False,2
mp-241,CdF2,2.8977000000000004,False,1582.3565435713265,5.40103778304604,5.40103778304604,5.40103778304604,90.0,90.0,90.0,False,False,2
mp-252,BeTe,2.0173,False,10109.30351063222,5.662917575119757,5.662917575119757,5.662917575119757,90.0,90.0,90.0,False,False,2
mp-315,PbF2,4.3938,False,2088.1837135843693,5.915896864695085,5.915896864695085,5.915896864695085,90.0,90.0,90.0,False,False,2
mp-361,Cu2O,0.5126999999999997,False,241827.7827685164,4.24669932,4.24669932,4.24669932,90.0,90.0,90.0,False,False,2
mp-375,UO3,1.6349999999999998,False,228128.7749448409,4.13541623,4.13541623,4.13541623,90.0,90.0,90.0,False,False,2
mp-406,CdTe,0.5846000000000002,False,310507.979302599,6.564227112423829,6.564227112423829,6.564227112423829,90.0,90.0,90.0,False,False,2
mp-422,BeS,3.1453,False,2783.582752166997,4.870303297786005,4.870303297786005,4.870303297786005,90.0,90.0,90.0,False,False,2
mp-441,Rb2Te,1.8766,False,65916.01898158957,8.562208858073191,8.562208858073191,8.562208858073191,90.0,90.0,90.0,False,False,2
mp-467,Th3N4,1.4415000000000004,False,118912.24444223684,3.8754424082805903,3.8754424082805903,27.46114430799189,90.0,90.0,120.0,False,False,2
mp-588,GaF3,4.7051,False,575.9106614177286,4.906004282306151,4.906004282306151,13.173860517979536,90.0,90.0,120.0,False,False,2
mp-643,ThO2,4.4187,False,2036.1368515016984,5.600959220714735,5.600959220714735,5.600959220714735,90.0,90.0,90.0,False,False,2
mp-648,Na2S,2.4399,False,20758.96075109862,6.49830897865175,6.49830897865175,6.49830897865175,90.0,90.0,90.0,False,False,2
mp-661,AlN,4.0467,False,1959.0698435740687,3.128588135976751,3.128588135976751,5.016955,90.0,90.0,120.0,False,False,2
mp-665,SnSe2,0.7018,False,217578.95337380888,3.841899136404435,3.841899136404435,6.4858801,90.0,90.0,120.0,False,False,2
mp-672,CdS,1.125,False,78525.5509782946,4.168838099510944,4.168838099510944,6.77961741,90.0,90.0,120.0,False,False,2
mp-706,HgF,1.7704,False,35411.833792287274,3.658952947105521,3.658952947105521,11.045498802927751,90.0,90.0,90.0,False,False,2
mp-733,GeO2,3.2501,False,2003.2030087234484,4.986950089999588,4.986950089999588,5.67479619,90.0,90.0,120.0,False,False,2
mp-736,Li3P,0.6996000000000002,False,126956.74779939238,4.219273805576638,4.219273805576638,7.54705753,90.0,90.0,120.0,False,False,2
mp-757,Li3As,0.6364999999999998,False,165880.80330967912,4.341471481891913,4.341471481891913,7.745609,90.0,90.0,120.0,False,False,2
mp-762,PtS2,1.5467000000000004,False,582625.6968975696,3.54874218934387,3.54874218934387,5.59706654,90.0,90.0,120.0,False,False,2
mp-766,As2Ru,0.4492000000000002,False,470244.5307921444,3.00114582,5.43556299,6.20594752,90.0,90.0,90.0,False,False,2
mp-804,GaN,1.7264999999999997,False,70831.69194936952,3.1889304035246457,3.1889304035246457,5.19235725,90.0,90.0,120.0,False,False,2
mp-827,KN3,3.9394,False,2682.108377255787,6.1018011821357785,6.1018011821357785,7.03239008835671,90.0,90.0,90.0,False,False,2
mp-841,Li2O2,1.9743,False,33810.16585185927,3.102634329476344,3.102634329476344,7.56992946,90.0,90.0,120.0,False,False,2
mp-856,SnO2,0.6519000000000004,False,44959.63899828126,4.764818045,4.764818045,3.20749977,90.0,90.0,90.0,False,False,2
mp-938,GeTe,0.8086000000000002,False,1265742.5373234896,4.188986794466971,4.188986794466971,11.03707735428012,90.0,90.0,120.0,False,False,2
mp-947,Au2S,1.9091,False,73820.44618004526,5.273982179999999,5.273982179999999,5.273982179999999,90.0,90.0,90.0,False,False,2
mp-971,K2O,1.7072,False,56559.447699334894,4.502013090000001,4.51565428,6.37500949,90.0,90.0,90.0,False,False,2
mp-984,BN,4.273999999999999,False,2278.386369148149,2.512428228120049,2.512428228120049,7.707265,90.0,90.0,120.0,False,False,2
