id,Formule,BG,IM,CA,a,b,c,alpha,beta,gamma,contains_rare_earth,is_element,num_of_elements,latt_mis_perp
mp-22859,HgI,1.6426000000000005,False,642451.1826638625,5.070440821419709,5.070440821419709,11.77167852497402,90.0,90.0,90.0,False,False,2,0.00014272558288111535
mp-23177,HgBr,2.2557,False,45959.2633679429,4.743077152573382,4.743077152573382,11.286349926373504,90.0,90.0,90.0,False,False,2,0.029131659998209988
mp-706,HgF,1.7704,False,35411.833792287274,3.658952947105521,3.658952947105521,11.045498802927751,90.0,90.0,90.0,False,False,2,0.05069378570955846
mp-22897,HgCl,2.7243000000000004,False,11323.398672808316,4.529054621991,4.529054621991,11.04382662925866,90.0,90.0,90.0,False,False,2,0.0508448925005173
mp-23202,InI,1.3412000000000002,False,313509.1466665531,4.860243728716956,12.86526409645591,4.83363636,90.0,90.0,90.0,False,False,2,0.08891807920841913
mp-10074,GeSe2,1.5188,False,311810.4860485964,5.936630091371072,5.936630091371072,9.571308051830131,90.0,90.0,90.0,False,False,2,0.19335189754668292
mp-1101301,TeO3,2.1595,False,9083.16505447247,5.169167770586864,8.94838082,5.073741247036422,90.0,108.83466291529642,90.0,False,False,2,0.2597793311869967
mp-8289,SnF3,2.7195,False,7433.081679332176,8.697951889614073,8.697951889614073,8.697951889614073,90.0,90.0,90.0,False,False,2,0.2876323644855902
mp-441,Rb2Te,1.8766,False,65916.01898158957,8.562208858073191,8.562208858073191,8.562208858073191,90.0,90.0,90.0,False,False,2,0.3030183513103866
mp-1747,K2Te,2.141,False,72126.33369519562,8.182375931826074,8.182375931826074,8.182375931826074,90.0,90.0,90.0,False,False,2,0.34719261018120035
mp-11327,Rb2Se,1.7968,False,52956.80485960386,8.057712764073448,8.057712764073448,8.057712764073448,90.0,90.0,90.0,False,False,2,0.3620634718165884
mp-1008492,BrCl,1.8129,False,76540.63894173676,4.927516,7.877746,7.810701,90.0,90.0,90.0,False,False,2,0.38386480491338737
mp-8041,Rb2S,1.9632,False,45433.19359762542,7.777320933490631,7.777320933490631,7.777320933490631,90.0,90.0,90.0,False,False,2,0.39620731111308155
mp-23297,BrF3,2.211,False,5370.491308069628,5.3104690967558,7.569116689334061,6.22369746,90.0,90.0,90.0,False,False,2,0.4222059166861221
mp-7896,Cs2O2,1.6496,False,29350.10738547648,4.33370958994754,6.43736744742368,7.55766327013292,90.0,90.0,90.0,False,False,2,0.4236533549974292
mp-1022,K2S,2.3201,False,20112.421519871445,7.41387892258685,7.41387892258685,7.41387892258685,90.0,90.0,90.0,False,False,2,0.44196138674826146
mp-2784,Na2Te,2.0282,False,62561.616050623,7.265958466767905,7.265958466767905,7.265958466767905,90.0,90.0,90.0,False,False,2,0.461087495684625
mp-22885,XeF2,2.6861999999999995,False,3712.433294379692,4.246657338317982,4.246657338317982,7.091690772966438,90.0,90.0,90.0,False,False,2,0.48400865982709207
mp-7895,Rb2O2,1.7600000000000002,False,23874.58946365744,4.186799731086583,5.976776745704844,7.076612094465815,90.0,90.0,90.0,False,False,2,0.4860121701206796
mp-571102,TlI,2.2086,False,31587.381363825298,7.042062392779568,7.042062392779568,7.042062392779568,90.0,90.0,90.0,False,False,2,0.4906146481149454
mp-239,BaS3,1.3912999999999998,False,62546.51885040232,6.9519550500000005,6.9519550500000005,4.21601149,90.0,90.0,90.0,False,False,2,0.5026976151143983
mp-1105,BaO2,2.2352,False,2518.01562928497,3.8380148229466498,3.8380148229466498,6.898199266733667,90.0,90.0,90.0,False,False,2,0.5099631713665475
mp-1185959,MgS2,1.1336999999999997,False,71892.4583051441,6.890758372777457,3.9105414099458464,5.096060408957439,90.0,116.43356047694527,90.0,False,False,2,0.5109719968277909
mp-1266,Na2Se,2.0153,False,70067.0174791174,6.759551156983516,6.759551156983516,6.759551156983516,90.0,90.0,90.0,False,False,2,0.5288976063070097
mp-1958,SrTe,1.7616,False,62828.64608724197,6.711670620839228,6.711670620839228,6.711670620839228,90.0,90.0,90.0,False,False,2,0.5355027665237264
mp-1224,HgO,1.1867,False,63225.39200997923,3.58509138,5.56420636,6.69606078,90.0,90.0,90.0,False,False,2,0.5376636678412278
mp-2697,SrO2,2.8495000000000004,False,2234.0352020164614,3.544240324747733,3.544240324747733,6.6845123218523606,90.0,90.0,90.0,False,False,2,0.5392649134011234
mp-568560,TlBr,2.2962,False,17298.444781439,6.684083526987348,6.684083526987348,6.684083526987348,90.0,90.0,90.0,False,False,2,0.539324565889135
mp-22925,AgI,1.3674,False,84443.93592516544,6.56419155646163,6.56419155646163,6.56419155646163,90.0,90.0,90.0,False,False,2,0.5560665611171022
mp-2530,Li2Te,2.4914,False,7401.304700239134,6.513749003287515,6.513749003287515,6.513749003287515,90.0,90.0,90.0,False,False,2,0.563176397601158
mp-648,Na2S,2.4399,False,20758.96075109862,6.49830897865175,6.49830897865175,6.49830897865175,90.0,90.0,90.0,False,False,2,0.5653606765752434
mp-1500,BaS,2.1488,False,51310.029329953926,6.451351236011469,6.451351236011469,6.451351236011469,90.0,90.0,90.0,False,False,2,0.5720269930027364
mp-569639,TlCl,2.5369,False,11392.240573333442,6.439101528755188,6.439101528755188,6.439101528755188,90.0,90.0,90.0,False,False,2,0.5737716718994855
mp-27743,BiF5,1.8138,False,73950.3195197174,6.39358828688502,6.39358828688502,4.280533447390971,90.0,90.0,90.0,False,False,2,0.5802741152651969
mp-1519,CaTe,1.5535,False,38468.49687839703,6.391708758054385,6.391708758054385,6.391708758054385,90.0,90.0,90.0,False,False,2,0.5805434353540002
mp-1057286,CsH,2.3475,False,42008.82153760337,6.38250884,6.38250884,6.38250884,90.0,90.0,90.0,False,False,2,0.5818621958826852
mp-971,K2O,1.7072,False,56559.447699334894,4.502013090000001,4.51565428,6.37500949,90.0,90.0,90.0,False,False,2,0.5829382701093246
mp-2758,SrSe,2.2313,False,13824.998866014525,6.279421748401956,6.279421748401956,6.279421748401956,90.0,90.0,90.0,False,False,2,0.5967321846182725
mp-866291,AgBr,1.1708,False,53271.42338579928,6.23979268,6.23979268,6.23979268,90.0,90.0,90.0,False,False,2,0.6024942062588641
mp-2624,AlSb,1.2255000000000005,False,348957.2552222329,6.185042287114787,6.185042287114787,6.185042287114787,90.0,90.0,90.0,False,False,2,0.6104968031523659
mp-27726,SO2,2.8368,False,2991.437238661991,5.797962936463708,6.101376890032142,5.90349217,90.0,90.0,90.0,False,False,2,0.622820570407045
mp-1087,SrS,2.497,False,8017.255570936087,6.0480334773227975,6.0480334773227975,6.0480334773227975,90.0,90.0,90.0,False,False,2,0.6307403824874647
mp-24721,RbH,2.9163,False,6317.384331064218,6.008162523338445,6.008162523338445,6.008162523338445,90.0,90.0,90.0,False,False,2,0.6366903862910251
mp-1011695,Cs2Se,1.7952,False,50295.285326278514,5.977892778259365,5.977892778259365,14.614205090000954,90.0,90.0,120.0,False,False,2,0.6412257378583454
mp-2286,Li2Se,2.9746,False,4373.008537554134,5.9520885296812125,5.9520885296812125,5.9520885296812125,90.0,90.0,90.0,False,False,2,0.6451036843084687
mp-1415,CaSe,2.0728000000000004,False,11530.258802301702,5.940476210343394,5.940476210343394,5.940476210343394,90.0,90.0,90.0,False,False,2,0.6468524778365967
mp-13031,MgSe,2.5476,False,14204.630377360634,5.937855388474067,5.937855388474067,5.937855388474067,90.0,90.0,90.0,False,False,2,0.6472474435950623
mp-558928,KrF2,2.7303,False,5150.5417362086055,4.53294056,4.53294056,5.84943294,90.0,90.0,90.0,False,False,2,0.6606477715643841
mp-1672,CaS,2.3819,False,7292.231318288678,5.704748583424641,5.704748583424641,5.704748583424641,90.0,90.0,90.0,False,False,2,0.6828669966377582
mp-2172,AlAs,1.5036999999999998,False,92207.77653150584,5.675801600904916,5.675801600904916,5.675801600904916,90.0,90.0,90.0,False,False,2,0.6873576243943615
mp-1190,ZnSe,1.1663,False,83248.3710616367,5.664885081390604,5.664885081390604,5.664885081390604,90.0,90.0,90.0,False,False,2,0.6890538499232567
mp-252,BeTe,2.0173,False,10109.30351063222,5.662917575119757,5.662917575119757,5.662917575119757,90.0,90.0,90.0,False,False,2,0.6893603627164855
mp-1342,BaO,2.0906,False,51618.28338660007,5.580783419036325,5.580783419036325,5.580783419036325,90.0,90.0,90.0,False,False,2,0.7022030396295982
mp-2352,Na2O,1.8736,False,82536.5442219703,5.484981735819652,5.484981735819652,5.484981735819652,90.0,90.0,90.0,False,False,2,0.7173372900757558
mp-1550,AlP,1.6294000000000004,False,13895.173518138943,5.472967426017369,5.472967426017369,5.472967426017369,90.0,90.0,90.0,False,False,2,0.7192465674484889
mp-2490,GaP,1.6039,False,132236.67002498536,5.45162498890976,5.45162498890976,5.45162498890976,90.0,90.0,90.0,False,False,2,0.7226472941642327
mp-241,CdF2,2.8977000000000004,False,1582.3565435713265,5.40103778304604,5.40103778304604,5.40103778304604,90.0,90.0,90.0,False,False,2,0.7307379572576058
mp-947,Au2S,1.9091,False,73820.44618004526,5.273982179999999,5.273982179999999,5.273982179999999,90.0,90.0,90.0,False,False,2,0.7512758982785583
mp-1315,MgS,2.7574,False,4272.297077896137,5.208795111220911,5.208795111220911,5.208795111220911,90.0,90.0,90.0,False,False,2,0.761931926221715
mp-1541,BeSe,2.6636999999999995,False,4356.541193094771,5.167937476362056,5.167937476362056,5.167937476362056,90.0,90.0,90.0,False,False,2,0.7686541648349946
mp-2437,IrF3,1.1410999999999998,False,417049.4665222003,4.958894909568588,4.958894909568588,13.714840021423637,90.0,90.0,120.0,False,False,2,0.8035652567813646
mp-555908,CoF2,2.2721,False,34528.11423049218,4.643519410000112,4.643519410000112,3.19916469,90.0,90.0,90.0,False,False,2,0.8579298946353556
mp-1039,MgTe,2.3612,False,22842.98216661997,4.590202539375506,4.590202539375506,7.43780571,90.0,90.0,120.0,False,False,2,0.8673304462622298
mp-1479,BP,1.2434999999999992,False,8184.513933873101,4.532144769089332,4.532144769089332,4.532144769089332,90.0,90.0,90.0,False,False,2,0.877637266640829
mp-2400,NaS,1.2348,False,56396.6597938009,4.45154721903268,4.45154721903268,10.17580278,90.0,90.0,120.0,False,False,2,0.892067037715715
mp-1272139,SnBr2,1.967,False,23860.9289999832,4.329809837740722,4.329809837740722,6.55990546,90.0,90.0,120.0,False,False,2,0.9141412969809671
mp-1569,Be2C,1.1636999999999995,False,3457.1170222439164,4.324511945749077,4.324511945749077,4.324511945749077,90.0,90.0,90.0,False,False,2,0.9151099657499665
mp-672,CdS,1.125,False,78525.5509782946,4.168838099510944,4.168838099510944,6.77961741,90.0,90.0,120.0,False,False,2,0.9438514799060601
mp-28013,MnI2,1.1707999999999998,False,68097.20205499069,4.168581207450842,4.168581207450842,7.14619956,90.0,90.0,120.0,False,False,2,0.94389995807096
mp-375,UO3,1.6349999999999998,False,228128.7749448409,4.13541623,4.13541623,4.13541623,90.0,90.0,90.0,False,False,2,0.9500959035049525
mp-23703,LiH,2.981,False,10195.54681615706,4.017238783831899,4.017238783831899,4.017238783831899,90.0,90.0,90.0,False,False,2,0.972391547357462
mp-467,Th3N4,1.4415000000000004,False,118912.24444223684,3.8754424082805903,3.8754424082805903,27.46114430799189,90.0,90.0,120.0,False,False,2,0.9995921380741689
mp-28306,MnBr2,1.5962,False,5064.581333343645,3.8714174928081713,3.8714174928081713,6.48342778,90.0,90.0,120.0,False,False,2,1.0003705276856478
mp-971787,VBr2,1.1332,False,13545.366654135158,3.823556033608837,3.823556033608837,6.412845862146947,90.0,90.0,120.0,False,False,2,1.0096687551315886
mp-1572,GaSe,1.2405999999999997,False,76025.32966510674,3.773436731732547,3.773436731732547,16.52079197,90.0,90.0,120.0,False,False,2,1.0194680331361932
mp-28233,MnCl2,1.7925999999999995,False,2367.384380918222,3.6896847357011255,3.6896847357011255,18.22206643385314,90.0,90.0,120.0,False,False,2,1.0359876888347763
mp-1170,SnS2,1.5147999999999997,False,57142.15933398699,3.674305600569976,3.674305600569976,6.22883184,90.0,90.0,120.0,False,False,2,1.0390387013209488
mp-985829,HfS2,1.2237,False,500327.6789188816,3.639664180016492,3.639664180016492,6.05556247,90.0,90.0,120.0,False,False,2,1.045939424600548
mp-22877,VCl2,1.2559999999999998,False,20469.30606957621,3.6387906923434383,3.6387906923434383,6.09125368,90.0,90.0,120.0,False,False,2,1.0461130928468114
mp-2507,GaS,2.0036,False,22353.533292486987,3.5932473575762773,3.5932473575762773,16.01465599,90.0,90.0,120.0,False,False,2,1.055231459418599
mp-762,PtS2,1.5467000000000004,False,582625.6968975696,3.54874218934387,3.54874218934387,5.59706654,90.0,90.0,120.0,False,False,2,1.0641964988522448
mp-1591,Al4C3,1.3154000000000003,False,12390.161171835627,3.3330319433644853,3.3330319433644853,24.915625668909783,90.0,90.0,120.0,False,False,2,1.1084001035241688
mp-1821,WSe2,1.4465,False,324073.6781761412,3.3199329218010143,3.3199329218010143,13.7371873,90.0,90.0,120.0,False,False,2,1.1111256880052316
mp-804,GaN,1.7264999999999997,False,70831.69194936952,3.1889304035246457,3.1889304035246457,5.19235725,90.0,90.0,120.0,False,False,2,1.1386467489548533
mp-9813,WS2,1.6021,False,103099.98882202672,3.184866510777023,3.184866510777023,19.469401733805515,90.0,90.0,120.0,False,False,2,1.1395074728788568
