,id,a,b,c,alpha,beta,gamma
0,mp-19,4.601352515923067,4.601352515923067,5.900062000998235,90.0,90.0,119.99999999999999
1,mp-149,5.443702372939453,5.443702372939453,5.443702372939453,90.0,90.0,90.0
2,mp-239,6.9519550500000005,6.9519550500000005,4.21601149,90.0,90.0,90.0
3,mp-241,5.40103778304604,5.40103778304604,5.40103778304604,90.0,90.0,90.0
4,mp-252,5.662917575119757,5.662917575119757,5.662917575119757,90.0,90.0,90.0
5,mp-315,5.915896864695085,5.915896864695085,5.915896864695085,90.0,90.0,90.0
6,mp-361,4.24669932,4.24669932,4.24669932,90.0,90.0,90.0
7,mp-375,4.13541623,4.13541623,4.13541623,90.0,90.0,90.0
8,mp-406,6.564227112423829,6.564227112423829,6.564227112423829,90.0,90.0,90.0
9,mp-422,4.870303297786005,4.870303297786005,4.870303297786005,90.0,90.0,90.0
10,mp-441,8.562208858073191,8.562208858073191,8.562208858073191,90.0,90.0,90.0
11,mp-467,3.8754424082805903,3.8754424082805903,27.46114430799189,90.0,90.0,119.99999999999999
12,mp-588,4.906004282306151,4.906004282306151,13.173860517979536,90.0,90.0,120.00000000000001
13,mp-643,5.600959220714735,5.600959220714735,5.600959220714735,90.0,90.0,90.0
14,mp-648,6.49830897865175,6.49830897865175,6.49830897865175,90.0,90.0,90.0
15,mp-661,3.128588135976751,3.128588135976751,5.016955,90.0,90.0,119.99999999999999
16,mp-665,3.841899136404435,3.841899136404435,6.4858801,90.0,90.0,120.00000000000001
17,mp-672,4.168838099510944,4.168838099510944,6.77961741,90.0,90.0,119.99999999999999
18,mp-706,3.6589529471055213,3.6589529471055213,11.045498802927751,90.0,90.0,90.0
19,mp-733,4.986950089999588,4.986950089999588,5.67479619,90.0,90.0,120.00000000000001
20,mp-736,4.219273805576638,4.219273805576638,7.54705753,90.0,90.0,119.99999999999999
21,mp-757,4.341471481891913,4.341471481891913,7.745609,90.0,90.0,120.00000000000001
22,mp-762,3.54874218934387,3.54874218934387,5.59706654,90.0,90.0,120.00000000000001
23,mp-766,3.00114582,5.43556299,6.20594752,90.0,90.0,90.0
24,mp-804,3.1889304035246457,3.1889304035246457,5.19235725,90.0,90.0,119.99999999999999
25,mp-827,6.1018011821357785,6.1018011821357785,7.03239008835671,90.0,90.0,90.0
26,mp-841,3.1026343294763437,3.1026343294763437,7.56992946,90.0,90.0,120.00000000000001
27,mp-856,4.764818045,4.764818045,3.20749977,90.0,90.0,90.0
28,mp-938,4.188986794466971,4.188986794466971,11.03707735428012,90.0,90.0,119.99999999999999
29,mp-947,5.273982179999999,5.273982179999999,5.273982179999999,90.0,90.0,90.0
30,mp-971,4.502013090000001,4.51565428,6.37500949,90.0,90.0,90.0
31,mp-984,2.512428228120049,2.512428228120049,7.707265,90.0,90.0,120.00000000000001
32,mp-10074,5.936630091371072,5.936630091371072,9.571308051830133,90.0,90.0,90.0
33,mp-10086,3.77298504,3.77298504,6.82666712,90.0,90.0,90.0
34,mp-10226,3.975520649188188,3.975520649188188,19.80257934697099,90.0,90.0,119.99999999999999
35,mp-10322,4.13241419,4.13241419,8.42759229,90.0,90.0,90.0
36,mp-10401,6.006421216027281,6.006421216027281,4.80758079,90.0,90.0,119.99999999999999
37,mp-10402,5.919080258390827,5.919080258390827,4.76418862,90.0,90.0,119.99999999999999
38,mp-10408,5.770837322111839,5.6785405361337995,5.770783143801709,90.0,108.45901431386757,90.0
39,mp-10485,4.940407598328941,4.940407598328941,9.18028967,90.0,90.0,120.00000000000001
40,mp-10572,4.947436840674604,4.947436840674604,6.962243147116519,90.0,90.0,90.0
41,mp-10616,4.532278736656025,4.532278736656025,4.60523575,90.0,90.0,120.00000000000001
42,mp-10623,6.707204948115119,6.707204948115119,6.707204948115119,90.0,90.0,90.0
43,mp-10748,5.486557430000001,5.486557430000001,5.486557430000001,90.0,90.0,90.0
44,mp-10778,4.399986695589729,4.399986695589729,23.914510331226026,90.0,90.0,120.00000000000001
45,mp-10779,4.3678276055337175,4.3678276055337175,23.90189253752534,90.0,90.0,120.00000000000001
46,mp-10781,4.271940981679391,4.271940981679391,23.825984588809533,90.0,90.0,119.99999999999999
47,mp-10782,4.239960061190024,4.239960061190024,23.813682097575263,90.0,90.0,120.00000000000001
48,mp-10783,4.201311853103307,4.201311853103307,23.805510614365897,90.0,90.0,119.99999999999999
49,mp-10784,4.183343916535888,4.183343916535888,23.7983671275726,90.0,90.0,119.99999999999999
50,mp-10785,4.1362604678891195,4.1362604678891195,23.771646574433746,90.0,90.0,119.99999999999999
51,mp-10919,5.405893506952568,5.405893506952568,5.20080089,90.0,90.0,119.99999999999999
52,mp-10930,3.7862904200000003,3.7862904200000003,6.82317797,90.0,90.0,90.0
53,mp-10931,3.74383227,3.74383227,6.78733651,90.0,90.0,90.0
54,mp-10933,4.649965045825805,4.649965045825805,7.77389009,90.0,90.0,119.99999999999999
55,mp-10969,3.5567422044331076,3.5567422044331076,14.579926417270276,90.0,90.0,120.00000000000001
56,mp-1022,7.41387892258685,7.41387892258685,7.41387892258685,90.0,90.0,90.0
57,mp-1039,4.590202539375506,4.590202539375506,7.43780571,90.0,90.0,119.99999999999999
58,mp-1087,6.0480334773227975,6.0480334773227975,6.0480334773227975,90.0,90.0,90.0
59,mp-1105,3.8380148229466498,3.8380148229466498,6.898199266733667,90.0,90.0,90.0
60,mp-1115,3.7173065480242062,3.7173065480242062,5.82007402,90.0,90.0,119.99999999999999
61,mp-1153,5.670335685713675,5.670335685713675,5.670335685713675,90.0,90.0,90.0
62,mp-1170,3.674305600569976,3.674305600569976,6.22883184,90.0,90.0,120.00000000000001
63,mp-1190,5.664885081390604,5.664885081390604,5.664885081390604,90.0,90.0,90.0
64,mp-1224,3.58509138,5.56420636,6.69606078,90.0,90.0,90.0
65,mp-1265,4.1940027853522395,4.1940027853522395,4.1940027853522395,90.0,90.0,90.0
66,mp-1266,6.759551156983516,6.759551156983516,6.759551156983516,90.0,90.0,90.0
67,mp-1315,5.208795111220911,5.208795111220911,5.208795111220911,90.0,90.0,90.0
68,mp-1342,5.580783419036325,5.580783419036325,5.580783419036325,90.0,90.0,90.0
69,mp-1415,5.940476210343394,5.940476210343394,5.940476210343394,90.0,90.0,90.0
70,mp-1479,4.532144769089332,4.532144769089332,4.532144769089332,90.0,90.0,90.0
71,mp-1500,6.451351236011469,6.451351236011469,6.451351236011469,90.0,90.0,90.0
72,mp-1519,6.391708758054385,6.391708758054385,6.391708758054385,90.0,90.0,90.0
73,mp-1522,3.37769817,4.42562487,5.39652822,90.0,90.0,90.0
74,mp-1541,5.167937476362056,5.167937476362056,5.167937476362056,90.0,90.0,90.0
75,mp-1550,5.472967426017369,5.472967426017369,5.472967426017369,90.0,90.0,90.0
76,mp-1569,4.324511945749077,4.324511945749077,4.324511945749077,90.0,90.0,90.0
77,mp-1572,3.773436731732547,3.773436731732547,16.52079197,90.0,90.0,119.99999999999999
78,mp-1591,3.3330319433644853,3.3330319433644853,24.915625668909783,90.0,90.0,120.00000000000001
79,mp-1672,5.704748583424641,5.704748583424641,5.704748583424641,90.0,90.0,90.0
80,mp-1747,8.182375931826074,8.182375931826074,8.182375931826074,90.0,90.0,90.0
81,mp-1776,5.261712590768087,5.261712590768087,5.261712590768087,90.0,90.0,90.0
82,mp-1821,3.3199329218010143,3.3199329218010143,13.7371873,90.0,90.0,120.00000000000001
83,mp-1852,6.416870207111135,6.416870207111135,4.477941568451381,90.0,90.0,90.0
84,mp-1873,4.70294417,4.70294417,3.1328902100000002,90.0,90.0,90.0
85,mp-1883,6.371626132571059,6.371626132571059,6.371626132571059,90.0,90.0,90.0
86,mp-1958,6.711670620839228,6.711670620839228,6.711670620839228,90.0,90.0,90.0
87,mp-1960,4.653708763836069,4.653708763836069,4.653708763836069,90.0,90.0,90.0
88,mp-11019,2.971853523119563,2.971853523119563,11.44881994,90.0,90.0,119.99999999999999
89,mp-11020,2.9906166992273104,2.9906166992273104,12.42136296,90.0,90.0,119.99999999999999
90,mp-11022,3.2114229286275666,3.2114229286275666,12.40930025,90.0,90.0,119.99999999999999
91,mp-11107,4.095488002164615,4.095488002164615,6.29988201,90.0,90.0,120.00000000000001
92,mp-11147,4.577351,4.577351,8.207251,90.0,90.0,90.0
93,mp-11178,3.639646607613101,3.639646607613101,17.964927969452294,90.0,90.0,120.00000000000001
94,mp-11327,8.057712764073448,8.057712764073448,8.057712764073448,90.0,90.0,90.0
95,mp-11739,4.709378486002885,4.709378486002885,24.563411191166676,90.0,90.0,120.00000000000001
96,mp-11740,4.620797928443806,4.620797928443806,24.597035925004164,90.0,90.0,120.00000000000001
97,mp-11775,4.328371596666666,4.328371596666666,4.328371596666666,90.0,90.0,90.0
98,mp-12317,3.9787573510756866,3.9787573510756866,15.108780924252574,90.0,90.0,119.99999999999999
99,mp-12442,7.554441848936402,7.554441848936402,7.211647041672181,90.0,90.0,120.00000000000001
100,mp-12444,3.93943137,3.93943137,8.64701502,90.0,90.0,90.0
101,mp-12509,3.9075921615830094,3.9075921615830094,30.491285454074795,90.0,90.0,119.99999999999999
102,mp-12668,3.80964158775367,3.80964158775367,6.61388556,90.0,90.0,120.00000000000001
103,mp-12670,3.7617444589047935,3.7617444589047935,6.55446067,90.0,90.0,119.99999999999999
104,mp-12671,3.738036123615899,3.738036123615899,6.52200321,90.0,90.0,120.00000000000001
105,mp-12904,7.12925411,7.12925411,4.64161863,90.0,90.0,90.0
106,mp-12954,4.984760243394115,4.984760243394115,9.035491831725347,90.0,90.0,90.0
107,mp-12957,8.754856,6.220214,4.389828171850124,90.0,115.76698413047657,90.0
108,mp-13031,5.937855388474067,5.937855388474067,5.937855388474067,90.0,90.0,90.0
109,mp-13038,3.7368859103462726,3.7368859103462726,8.201376,90.0,90.0,119.99999999999999
110,mp-13275,7.66479932631214,7.66479932631214,4.48604454,90.0,90.0,120.00000000000001
111,mp-13276,4.371296412853743,4.371296412853743,8.04126415,90.0,90.0,120.00000000000001
112,mp-13277,4.523617695411071,4.523617695411071,8.75238429,90.0,90.0,119.99999999999999
113,mp-13312,3.792497392126931,3.792497392126931,14.94939822,90.0,90.0,120.00000000000001
114,mp-13313,3.967793441523208,3.967793441523208,23.078360715339485,90.0,90.0,119.99999999999999
115,mp-13610,5.126887530043264,5.126887530043264,14.436050510243696,90.0,90.0,120.00000000000001
116,mp-13660,4.700047629802054,4.700047629802054,16.299760489038935,90.0,90.0,90.0
117,mp-13694,3.788307097202936,3.788307097202936,17.01156042325423,90.0,90.0,119.99999999999999
118,mp-13903,5.120740767679854,5.120740767679854,13.924412519434883,90.0,90.0,120.00000000000001
119,mp-13907,5.254960409629441,5.254960409629441,14.850194197282196,90.0,90.0,120.00000000000001
120,mp-13971,4.000934983996496,4.000934983996496,7.03823685,90.0,90.0,120.00000000000001
121,mp-13972,3.937997242734491,3.937997242734491,6.94589621,90.0,90.0,120.00000000000001
122,mp-13974,3.800517969037033,3.800517969037033,6.75888045,90.0,90.0,119.99999999999999
123,mp-13984,5.056799392418005,5.056799392418005,14.505292312641643,90.0,90.0,120.00000000000001
124,mp-14070,8.021614149030482,8.021614149030482,8.021614149030482,90.0,90.0,90.0
125,mp-14088,8.487651353192373,8.487651353192373,8.487651353192373,90.0,90.0,90.0
126,mp-14091,5.975205832709159,5.975205832709159,11.022078117801527,90.0,90.0,90.0
127,mp-14115,3.0402293590714393,3.0402293590714393,14.041680872092838,90.0,90.0,119.99999999999999
128,mp-14116,3.085909045506548,3.085909045506548,17.065339858815793,90.0,90.0,119.99999999999999
129,mp-14205,5.748374833597323,5.748374833597323,20.450367151360027,90.0,90.0,120.00000000000001
130,mp-14437,3.4813449539310914,3.4813449539310914,19.526692523359472,90.0,90.0,120.00000000000001
131,mp-15724,7.704635599215965,7.704635599215965,7.704635599215965,90.0,90.0,90.0
132,mp-15781,4.291318621470166,4.291318621470166,21.903887075312923,90.0,90.0,120.00000000000001
133,mp-15782,4.2219870664947186,4.2219870664947186,22.038850122207176,90.0,90.0,119.99999999999999
134,mp-15783,4.133890772832996,4.133890772832996,21.9801440150981,90.0,90.0,119.99999999999999
135,mp-15784,4.090330012559927,4.090330012559927,21.980620800000096,90.0,90.0,119.99999999999999
136,mp-15786,4.018132733901642,4.018132733901642,21.91419779829489,90.0,90.0,120.00000000000001
137,mp-15789,3.89874711079078,3.89874711079078,18.4166710838428,90.0,90.0,119.99999999999999
138,mp-15790,3.8804666954713083,3.8804666954713083,18.402725330869345,90.0,90.0,120.00000000000001
139,mp-15792,4.103480529965115,4.103480529965115,19.3883824090159,90.0,90.0,119.99999999999999
140,mp-15793,4.071353986267191,4.071353986267191,19.405224285740793,90.0,90.0,120.00000000000001
141,mp-15795,4.050913794107377,4.050913794107377,19.37606815814821,90.0,90.0,119.99999999999999
142,mp-15796,4.0355900214995195,4.0355900214995195,19.330663744768707,90.0,90.0,119.99999999999999
143,mp-15988,6.291892799711175,6.291892799711175,6.291892799711175,90.0,90.0,90.0
144,mp-16032,4.093107432160551,4.093107432160551,13.03670064443294,90.0,90.0,90.0
145,mp-16033,4.0050601556600895,4.0050601556600895,12.737964328255678,90.0,90.0,90.0
146,mp-16035,3.967244630216253,3.967244630216253,12.602618900490132,90.0,90.0,90.0
147,mp-16036,3.9307317945445677,3.9307317945445677,12.496129959723358,90.0,90.0,90.0
148,mp-16037,3.9114187935966256,3.9114187935966256,12.436038645543983,90.0,90.0,90.0
149,mp-16236,4.51645146,4.51645146,7.6982129,90.0,90.0,90.0
150,mp-16763,4.495359508416277,4.495359508416277,24.50106914842708,90.0,90.0,119.99999999999999
151,mp-19178,2.861520861046852,2.861520861046852,12.28569151,90.0,90.0,119.99999999999999
152,mp-19338,2.7692701576901118,2.7692701576901118,16.049502447135133,90.0,90.0,120.00000000000001
153,mp-19378,2.9928262211308585,2.9928262211308585,18.55869299052621,90.0,90.0,119.99999999999999
154,mp-19443,5.32499735,5.32499735,3.94449455,90.0,90.0,90.0
155,mp-19717,6.5417936101197425,6.5417936101197425,6.5417936101197425,90.0,90.0,90.0
156,mp-19734,5.124584485333622,5.124584485333622,14.229468236718324,90.0,90.0,120.00000000000001
157,mp-19833,5.873910311268413,5.873910311268413,11.395495516130557,90.0,90.0,90.0
158,mp-19886,6.798892648031452,6.798892648031452,6.798892648031452,90.0,90.0,90.0
159,mp-20015,4.894081558584741,4.894081558584741,5.51676445,90.0,90.0,120.00000000000001
160,mp-20072,3.8454876056591507,3.8454876056591507,16.899811360515404,90.0,90.0,120.00000000000001
161,mp-20098,4.339554848334276,4.339554848334276,13.36430255816295,90.0,90.0,90.0
162,mp-20194,5.467450347765208,5.467450347765208,5.467450347765208,90.0,90.0,90.0
163,mp-20273,4.84593119,4.84593119,4.84593119,90.0,90.0,90.0
164,mp-20289,3.81681116079536,3.81681116079536,19.88759370298708,90.0,90.0,120.00000000000001
165,mp-20374,3.7129136336422977,3.7129136336422977,8.180967,90.0,90.0,120.00000000000001
166,mp-20526,5.96737082,5.97403714,11.27537033,90.0,90.0,90.0
167,mp-20731,5.937919136147785,5.937919136147785,11.700519674165704,90.0,90.0,90.0
168,mp-20790,5.727184582782915,5.727184582782915,9.07940786850607,90.0,90.0,90.0
169,mp-2068,4.876165023637776,4.876165023637776,13.584570764619661,90.0,90.0,120.00000000000001
170,mp-2074,6.544922671159856,6.544922671159856,6.544922671159856,90.0,90.0,90.0
171,mp-2097,3.81369522,3.81369522,4.8869133,90.0,90.0,90.0
172,mp-2133,3.2373510234543743,3.2373510234543743,5.2220613,90.0,90.0,119.99999999999999
173,mp-2172,5.675801600904916,5.675801600904916,5.675801600904916,90.0,90.0,90.0
174,mp-2176,6.1112291203687645,6.1112291203687645,6.1112291203687645,90.0,90.0,90.0
175,mp-2201,6.181647072994785,6.181647072994785,6.181647072994785,90.0,90.0,90.0
176,mp-2251,3.6097274001943127,3.6097274001943127,3.85463861,90.0,90.0,120.00000000000001
